the_geom,latlong,lat,long,deaths,cartodb_id,created_at,updated_at
0101000020E61000000000000000002B403333333333734040,"32.9, 13.5",32.9,13.5,270,91,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000EC51B81E85AB2A40F6285C8FC2754040,"32.92, 13.335",32.92,13.335,70,92,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000EA5A7B9FAA2A284087A3AB7477774040,"32.933333, 12.083333",32.933333,12.083333,100,93,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000C74B378941202B4004560E2DB27D4040,"32.982, 13.563",32.982,13.563,90,94,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000033333333333328400000000000804040,"33, 12.1",33,12.1,41,95,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000002A400000000000804040,"33, 13",33,13,3,96,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003333333333332A400000000000804040,"33, 13.1",33,13.1,24,97,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000CDCCCCCCCCCC2A400000000000804040,"33, 13.4",33,13.4,6,98,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000000000000000002C400000000000804040,"33, 14",33,14,115,99,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000F6285C8FC275284085EB51B81E854040,"33.04, 12.23",33.04,12.23,128,100,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000048E17A14AE472B4085EB51B81E854040,"33.04, 13.64",33.04,13.64,40,101,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992A40CDCCCCCCCC8C4040,"33.1, 13.3",33.1,13.3,160,102,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000C3F5285C8FC22B40F6285C8FC2954040,"33.17, 13.88",33.17,13.88,3,103,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000CBBBEA01F3D645407AE1CE85919C4040,"33.223191, 43.679291",33.223191,43.679291,13,104,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003333333333332B406666666666A64040,"33.3, 13.6",33.3,13.6,45,105,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000766C04E2752D2B403883BF5FCCAC4040,"33.349987, 13.58879",33.349987,13.58879,451,106,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992A403333333333B34040,"33.4, 13.3",33.4,13.3,225,107,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992E403333333333B34040,"33.4, 15.3",33.4,15.3,9,108,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000CDCCCCCCCC4C2A405C8FC2F528BC4040,"33.47, 13.15",33.47,13.15,41,109,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E610000097395D16133B2640EC4E779E78C04040,"33.503681, 11.11538",33.503681,11.11538,5,110,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992940E17A14AE47C14040,"33.51, 12.8",33.51,12.8,40,111,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000D4B5F63E55551EC05470784144C44040,"33.533333, -7.583333",33.533333,-7.583333,7,112,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999992A40CDCCCCCCCCCC4040,"33.6, 13.3",33.6,13.3,90,113,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003333333333332B409A99999999D94040,"33.7, 13.6",33.7,13.6,300,114,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000009A99999999192C409A99999999D94040,"33.7, 14.05",33.7,14.05,18,115,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000003CA583F57F662940151DC9E53FE84040,"33.81445, 12.700195",33.81445,12.700195,111,116,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E61000001F85EB51B81E1CC0CDCCCCCCCCEC4040,"33.85, -7.03",33.85,-7.03,10,117,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000137F1475E68E28400C94145800EF4040,"33.867198, 12.279102",33.867198,12.279102,800,118,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000B81E85EB5138294052B81E85EBF14040,"33.89, 12.61",33.89,12.61,122,119,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
0101000020E6100000E17A14AE47E12A403333333333F34040,"33.9, 13.44",33.9,13.44,212,120,2015-04-22 15:15:56.698192+00,2015-04-22 15:15:56.698192+00
